category,faqQuestion,faqAnswer,lastUpdated
Passenger,Can I make an online booking on Air India website with my credit card if I am not travelling myself ?,"If the cardholder is not a part of the traveling party, then the passenger should possess:
A photocopy of both sides of the card, which will have to be self attested by the card holder authorising the use of the card for the purchase of the ticket. For security reasons, please strike out the security CVV digits on the copy of the card.
This photocopy should also contain the name of the passenger, the date of journey and the sector on which the journey is made.
The above document MUST be produced at the time of check-in. If the passenger fails to comply with these conditions, Air India reserves the right to deny the passenger(s) from boarding the flight. Our risk management team could send you an email from the email address chargeback@airindia.in, in which you may be asked to send a scanned - masked credit card copy and the signed letter of authority for verification purposes. We request your cooperation in replying to such queries. The details mentioned above do not apply for Net Banking",26-05-2025
Passenger,Does SpiceJet offer connections to other airlines on domestic routes?,"No, SpiceJet does not offer connections to other airlines and takes no responsibility for missed connections. However, on certain sectors, SpiceJet offers connectivity between two SpiceJet flights (Connected sectors). Booking made for connected sectors will be confirmed under a single reservation number, fees & surcharges will be applicable only with respect to one segment.",26-05-2025
Passenger,Can I cancel/ refund my entire booking on Manage Booking facility on Jet Airways website ?,"Yes, you can cancel your entire booking and obtain a refund to the same credit card/debit card/banking account used to purchase tickets on www.jetairways.com. 
However, if you have already checked-in using our web or mobile check-in service, kindly call our Contact Centre to cancel the seat reserved during check-in, before requesting for a refund.",26-05-2025
Passenger,Can JPMiles be transferred?,"JPMiles can be transferred from one JetPrivilege membership account to another:

Transfer JPMiles can be availed by all members.
A minimum of 500 JPMiles need to be transferred and in multiples of 500 thereon.
Transfer JPMiles at the Rate of Rs.200/- per block of 500 JPMiles
No maximum limit on the number of JPMiles that can be transferred.
JPMiles can be transferred to only one account at a time.
Transfer of JPMiles can be processed online or at JetPrivilege service centre
For more information, please refer to Transfer JPMiles section under Redeem JPMiles.",26-05-2025
Passenger,What are the meal options for GoBusiness reservations provided by GoAir ?,"At GoAir, we like to stand out from the crowd. That's why with a GoBusiness Reservation our customers can expect not only great service from our dedicated cabin crew but also complimentary refreshments & unlimited tea & coffee. Our GoBusiness customers are also provided with the choice of a business newspaper and a weekly magazine on request. If they are back from a business meeting or want to enjoy a relaxing siesta, our helpful cabin crew would always be happy to provide them with a pillow and blanket on request.",26-05-2025
Passenger,Does Vistara provide an option for group booking ?,"Vistara provides an option for  Group Booking and it  requires a minimum of 10 passengers travelling on the same booking. Infants will not be included in the total number of passengers, as they do not occupy a seat. The major benefits with group booking are 
• All passengers are in a single PNR at the same fare.
• Reduced fares compared to separate bookings, as online pricing is dynamic and not all
passengers might get the same fare available online.
• Passenger Names submission is not immediate (Only For groups with >7 days to
departure).
• No need for instant full payment (Only for Groups with >21 days to departure).",26-05-2025
Passenger,Does Vistara provide discounts for Senior Citizens ?,"At Vistara, we offer special Senior Citizen discount - an opportunity to get an attractive 10% off on the base fare when you book your Economy Class ticket with us via airvistara.com.",26-05-2025
Passenger,Does SpiceJet provide any food or drinks onboard for international travel?,"SpiceJet sells hot meals/snacks/refreshments and beverages on selected flights. Alcoholic beverages are available for sale onboard only on international flights. Payment for the same will be accepted only in INR, Dollars (USD) & the currency of destination city except the currency LKR,MVR,NPR.
In order to comply with certain local regulations in various states/countries, the consumption of alcohol on International flights may be prohibited.
SpiceJet has the right to restrict the quantity of alcohol served on its International flights. Consumption of self-carried alcohol (bought at the Duty Free/otherwise) is prohibited.
Regulatory norms restrict the airline from serving alcohol to individuals below 18 years of age on its International Flights. The cabin crew may seek age proof prior to serving alcohol.",26-05-2025
Passenger,Where is Chhatrapati Shivaji International Airport (CSIA) Mumbai located ?,"Chhatrapati Shivaji International Airport (CSIA) Mumbai  operates domestic airlines - SpiceJet, IndiGo and GoAir from Terminal 1 located at Santacruz (E), Mumbai and the airlines Vistara, AirIndia and Jet Airways from Terminal 2 located at Sahar, Andheri (E), Mumbai. All the international operations are carried out from Terminal",26-05-2025
Passenger,Does Rajiv Gandhi International Airport Hyderabad have smoking areas,As per Government Order smoking is banned in public areas. At Rajiv Gandhi International Airport Hyderabad there are specially designed Smoking Lounges at Departures and Arrivals. Please Note Defaulters will attract a fine.,26-05-2025
Security,Can I carry a kirpan in the passenger cabin?,Yes.  If you are a Sikh passenger and traveling in domestic flight in India. The size of kirpan should not be more than 6 inch blade and 3 inch handle.,26-05-2025
License,Whether NOC is required for endorsement of multi-engine on Indian CPL?,Indian Pilots going abroad for multi-engine endorsement training in an ICAO Contracting State in their own interest are required to get the training syllabus approved by DGCA.,26-05-2025
License,Whether a person can get Instructor Rating on FAA licence and the same will be converted on Indian CPL?,"on FAA licences can be validated as per the requirements laid down in CAR Section 7, Series G, Part II.",26-05-2025
License,Whether a person can carry out flying on any Multi Engine aircraft on Indian CPL in case only one type of ME is already endorsed on license?,As per the aircraft rules a person cannot exercise the privileges of his CPL on the aircraft which is not endorsed on his CPL.,26-05-2025
Special Needs,How can I use the special services offered by IndiGo ?,"To ensure availability, these special service requests should be reserved and paid for in advance of travel, via IndiGo Call Centre",26-05-2025
Special Needs,What is the policy for expectant mothers travelling on IndiGo ?,"In case of normal pregnancies, expectant mothers till the end of 32 weeks of pregnancy may be permitted to fly on IndiGo flights provided there are no prior complications. Certificate(s) from the treating obstetrician is required stating the number of weeks the pregnancy has advanced and that the passenger is fit to travel by air. Passengers are required to fill an indemnity bond at the airport before the flight.",26-05-2025
Special Needs,What is the policy of Vistara for child travelers ?,"At Vistara, children below the age of 18 are classified into four categories:

Infants younger than 7 days
Infants between 7 days and 2 years
Children between the age of 5 and 12 years
Young travellers between the age of 13 and 18 years
With Vistara, you can rest assured your children are in good hands as our staff take extra care with these young customers.

In the interests of safety, we recommend you keep the following in mind:

If your infant is younger than 7 days, you require medical authorization from our Customer Service Centre.

If your infant is between 7 days and 2 years of age, they require valid ID.

If your children are between the ages of 5 and 12, they are permitted to travel as unaccompanied minors. Under our Vistara Youngstar service for Unaccompanied Minors, they will be escorted by specially trained airline staff. We ensure assistance during all processes, and ensure their safety, comfort and privacy in-flight on their very own adventure. Your children will then be handed over at the destination to the authorized individual specified in the UM form. A fee of INR 2500/- will be charged for each unaccompanied minor.

Parents/guardians have to ensure that all Unaccompanied Minor (UM) customers are carrying the correct photo identification, which is mandatory for travel.

If your children are between the ages of 13 and 18, they may travel as young customers once an adult has waived unaccompanied minor handling. This involves validation through “UM Assistance and Handling Waiver Form”. However, should you find the need for UM handling assistance, we will be glad to extend help.

Please keep in mind that young customers will not be considered as escorts for minors aged between 5 and 12 years",26-05-2025
Baggage,Is there a left luggage facility (cloak room) available at CSIA? For how long can one leave their baggage at Chhatrapati Shivaji International Airport (CSIA) Mumbai ?,"The left luggage facility (cloak room) is available at Terminal 1 and Terminal (T2) at the arrival hall. Passengers may leave their luggage at these facilities for a period of maximum 90 days.
For more information please visit - www.csia.in/passenger/left-luggage.aspx",26-05-2025
Passenger,Are auto rickshaws allowed inside Kempegowda International Airport Bengaluru ?,"The regular Bangalore auto rickshaws are not allowed inside the Kempegowda International Airport Bengaluru campus beyond the Trumpet Flyover. Passengers can get dropped at the entrance to the Trumpet Flyover on NH 7, connecting the city to Kempegowda International Airport Bengaluru. Kempegowda International Airport Bengaluru has a dedicated Shuttle Bus service starting from the Trumpet Flyover to the Airport Terminal Building for a minimum charge of Rs.10.",26-05-2025
Passenger,Are two-wheelers allowed within the Kempegowda International Airport Bengaluru campus? What are the parking facilities for them?,"Yes, two-wheelers are allowed within the Kempegowda International Airport Bengaluru campus. They can be parked at the designated parking facility at Rs. 20.",26-05-2025
Passenger,Do you have any assistance or porter service available at the Kempegowda International Airport Bengaluru ?,"Yes, Kempegowda International Airport Bengaluru has a dedicated porter service for your assistance. Porters are available on the curb side, or passengers can ask the Parking Assistant for a porter.

Charges
Domestic Arrival: Rs. 200
International Arrival: Rs. 300
Domestic Departure: Rs. 200
International Departure: Rs. 200
Note: please do not encourage or tip our porters.",26-05-2025
Passenger,What are the Helpline and Flight Enquiry contacts at Kempegowda International Airport Bengaluru ?,"Flight Enquiry Helpline (24 hours)080 - 6678 2251, 6678 2252, 6678 2255 or 1800-425-4425 (toll free; accessible through the mobile)
General Enquiry Helpline (24 hours)080 - 6678 2258, 6678 2259",26-05-2025
Passenger,When is fog anticipated at Kempegowda International Airport Bengaluru ?,"Weather being a natural phenomenon, this is difficult to forecast. However, fog is anticipated from November 15 to February 15, between 03:00 to 08:30 IST at Kempegowda International Airport Bengaluru.",26-05-2025
Passenger,Is there a day/transit hotel facility available at Chhatrapati Shivaji International Airport (CSIA) Mumbai ?,"Yes, there is. Nestled within the airport at Level 1 of Terminal 2 is the transit hotel & lounge – Niranta. From lavish rooms to high speed WiFi, flight information display system, separate work area and sumptuous meal options, the Niranta Airport Transit Hotel offers it all.
Get more details, here: http://csia.in/passenger/niranta.aspx",26-05-2025
Passenger,Where is the Pharmacy located Chhatrapati Shivaji International Airport (CSIA) Mumbai ?,"Apollo Pharmacy at International Terminal operates from the Medical Room behind check-in island M at the departure level 4.
Apollo Pharmacy at Domestic Terminal is located in the departure area, Terminal 1 before the security check points.",26-05-2025
Passenger,"What is the process for obtaining export certificate for precious jewellery(Jewellery, Gem stones, etc.) at Chhatrapati Shivaji International Airport (CSIA) Mumbai ?","Passengers travelling with precious jewellery from Mumbai need to submit a certificate to customs while departing from Mumbai. This certificate needs can be obtained minimum 1 day in advance of your date of travel. The certificate will be issued by PCCCC - Precious Cargo Customs Clearance Centre, which is located at Bharat Diamond Bourse, G Block, Bandra Kurla Complex, Bandra (East), Mumbai 400051. Contact No: 02226754000.
For more details please visit - www.customsmumbaiairport.gov.in/forms/Content.aspx?LinkID=40",26-05-2025
Passenger,Does Indira Gandhi International Airport Delhi have smoking areas?,"In an effort to keep the environment clean, all terminals at Indira Gandhi International Airport provide dedicated smoking lounges. These lounges are located inside the terminals, after security screening. Smoking in any other area is prohibited.",26-05-2025
Passenger,Do you have a visitor area at Rajiv Gandhi International Airport Hyderabad ?,The area outside Arrival Hall is the Meeter’s and Greeters area and is known as the Airport Village. Visitors are permitted to enter the Airport Village on purchase of an Entry Ticket of Rs. 20/- (subject to certain conditions).,26-05-2025
Passenger,Does Chennai International Airport  have smoking areas,Smoking lounge facility is available at the Security Hold Area of both International & Domestic Terminals of Chennai International Airport .,26-05-2025
Passenger,What are the details of car parking in Cochin International Airport ?,The Cochin International Airport offers ample parking facility. The covered area alone can house 1400 cars. There is no need of booking. Please drive in and get your vehicle parked as long as you wish.,26-05-2025
Passenger,Can I avail of Companion offers online on the Air India website?,"No, currently this facility is not available for online booking; passengers may please contact your nearest Air India office.",26-05-2025
Passenger,Can I purchase an open-dated ticket when I book online on the Air India website?,No. The selected sectors must be booked on a confirmed basis and paid for at the same time.,26-05-2025
Passenger,Can I cancel / change my booking on IndiGo Family Fare?,"Yes, passengers can cancel or change the Family Fare booking. Please refer Conditions of Carriage for change/cancellation fee and detailed T&Cs",26-05-2025
Passenger,Can I partially cancel my bookings done on IndiGo Family Fare?,"Yes, passengers can partially cancel a booking on Family Fare.",26-05-2025
Passenger,What type of aircraft does SpiceJet fly on domestic routes?,"SpiceJet flies Boeing 737-800's and 737-900 ER's configured with single class with a seating capacity of 189 and 212 respectively. In addition to this SpiceJet has added the Q400 NextGen turboprop aircraft from Bombardier, which can accommodate 78 passengers on a single class configuration.",26-05-2025
Passenger,What is the validity period of the JPMiles that I have earned?,"JPMiles are valid up to the end of the thirteenth quarter from the quarter in which they were earned. e.g. JPMiles earned in the 1st quarter of 2009 (JAN-FEB-MAR) will expire on March 31, 2012.

JetPrivilege Platinum members enjoy an exclusive benefit of “Non-Expiry of JPMiles” whereby the JPMiles do not expire from the membership account until the member retains his JetPrivilege Platinum tier. Jet Airways Co-brand cardholders enjoy extended validity of 5 years for their JPMiles.",26-05-2025
Passenger,Can I redeem JPMiles online? What is the procedure for the same?,"Yes. You can redeem JPMiles online. 
Login to your JetPrivilege account at jetairways.com
Click on JetPrivilege, Select Redeem JPMiles, Redeem JPMiles online.
Thereafter follow the instructions given to book, pay and print your e-tickets online. 

Alternatively, you can also redeem your JPMiles on jetprivilege.com OR fill up the online Award Request form at jetairways.com or download and email the form duly filled and signed by the member to jpredemptions@jetprivilege.com.",26-05-2025
Passenger,Can I use Jet Airways Kiosk Check-in for International flights?,Yes. Kiosk Check-in is available for Jet Airways international flights.,26-05-2025
Passenger,"""What is the definition of Unaccompanied Minor Passenger? Is a Parent allowed to accompany a child during check-in? """,An unaccompanied minor is a child without the presence of a legal guardian. This term is used in immigration law and in airline policies. The specific definition varies from country to country and from airline to airline. Please check with the airline for further information.,26-05-2025
License,Whether FRTOL can be issued without RTR (A) of Ministry of Communication?,No. The requirements for issue of FRTOL are laid down in Section ‘Y’ of the Schedule II of the Aircraft Rules.,26-05-2025
License,Whether recency of flying to be considered valid in case documents are submitted prior to the same i.e. ﬂying experience of 15 hours as PIC in the preceding six months?,in all respect for issue of license,26-05-2025
License,Whether a Pilot can get endorsement on an aircraft already available in India?,Pilots are granted type endorsement on their Indian licences to fly aircrafts registered in India having valid C of A and C of R.,26-05-2025
License,What is the requirement to acquire additional or extension of aircraft rating on Multi-engine?,Pilots holding Indian license are required to seek approval of their flying training syllabus from DGCA for obtaining Multiengine rating.,26-05-2025
Special Needs,if l need a wheelchair what should I do? Is there a charge?,"If a wheelchair is needed, the request should be placed at the time of reservation, ticketing or reconfirmation of the booking. Passengers are requested to pre-book wheelchairs at the time of flight booking / ticket issuance to avoid last minute delays / non availability of wheelchairs.",26-05-2025
Special Needs,Is there any Child Care room at Netaji Subhash Chandra Bose International Airport Kolkata ?,Child Care rooms are available at various locations for facilitating nursing mothers travelling through Netaji Subhash Chandra Bose International Airport,26-05-2025
Special Needs,Is there any Child Care room at Chennai International Airport ?,"Child care rooms are available at Domestic (5nos.) & International (2nos.) Terminals for providing essentials to the child/infant such as feeding, changing diapers etc.",26-05-2025
Special Needs,What is the policy for unaccompanied minor travelling with GoAir ?,"GoAir is happy to help kids fly solo. We accept unaccompanied minors between the age of 5 and 12 years, upon a payment of a nominal fee of ₹ 1,500/-. 
At the time of booking, the Unaccompanied Minor Service should be requested, either on the GoAir website (www.GoAir.in), directly at the GoAir office, via a GoAir contact centre or through a travel agent. 

For children traveling alone (unaccompanied minors), we provide separate check-in facilities on departure with dedicated GoAir staff to accompany them to the aircraft. A parent or a guardian is required to complete a signed UMR form at the point of check-in at each departure airport prior to travel. They must provide the name and the contact number(s) of a parent or a guardian who will meet the unaccompanied minor at the point of arrival. Parents or guardians are advised to present the child for check-in at least two hours prior the departure and must remain at the airport until the flight has departed. 

At the destination, the unaccompanied minor is introduced to a member of our staff who will escort them to the arrivals, where they will be handed over to the parent or the guardian noted on the form. For security reasons, the parent or the guardian will be required to show their formal identification, the details of which will be noted. 

Note: Children between the age group of 5-12 years will be considered and treated as an unaccompanied minor even if they are accompanied by a customer who is in the age group of 13 years to 18 years.",26-05-2025
Baggage,What If my Baggage is missing at Airport ?,"If your bags are delayed, try not to panic. The airlines typically have ways to track them, and the vast majority of misplaced luggage is returned eventually. If your bags are on the next flight, you could have them within a few hours. If they have been sent to the wrong airport, it could take a couple of days. Make sure to file your claim immediately at the airport and to give the attendant a hotel or home address, as well as a phone number where you can be reached.",26-05-2025
Baggage,Is left luggage facility available at Indira Gandhi International Airport Delhi ?,"The Left Luggage Facility is available in T3 and is located in the Multi Car Parking Facility, across from the terminal.",26-05-2025
Baggage,How can I make an enquiry on the lost baggage including the tag number details after departing from Cochin International Airport ?,"In Cochin airport, lost and mishandled baggages are  handled by Air India, which  is the ground handling agency. Their contact no is 0484 2610115 (2601 extension)
For tracking any missed belongings/items at the airport, go to CISF website or contact CISF control room at 0484- 2611422",26-05-2025
Passenger,How early should I arrive at the airport?,Check with your airline or travel agent to determine how early to arrive at the airport. Recommended check-in times differ by airline/airport and change during peak travel times.,26-05-2025
Passenger,What can I do if my property is lost: missing or damaged during the baggage screening process or at the Security Checkpoint?,It is our job to assure you - the passenger - that BCAS/Airlines/Aviation Security Group can and will deliver excellence in security and customer service.,26-05-2025
Passenger,What are the parking charges at Kempegowda International Airport Bengaluru ?,"At Kempegowda International Airport Bengaluru, we have a spacious, comfortable parking area which can accommodate about 2,000 vehicles. Our parking charges vary according to the time taken by passengers or visitors.
24/7 Parking Helpline : 9538882020",26-05-2025
Passenger,"Is it possible to park my own car at Kempegowda International Airport Bengaluru , in case of a day trip ?","Passengers can utilize the long-term parking facility as well as valet parking service provided at Kempegowda International Airport Bengaluru.

Regular long-term parking:
Long term Parking Fees remains same in P2 Parking area only.
Rs. 500 for day one (24 hours) and Rs. 300 for every additional day, thereafter.",26-05-2025
Passenger,What are the standard procedures that need to be completed on arrival in Chhatrapati Shivaji International Airport (CSIA) Mumbai ?,"International passengers - Upon arrival, a clearance from immigrations and customs is a must for all the passengers travelling internationally. There are seperate check points for both immigrations and customs.
All passengers of foreign nationality arriving in Mumbai will need to fill in the arrival card and present the same with a valid passport & visa at the immigration counter. It is mandatory that the passport has a validity of at least 6 months.
All Indian nationals arriving in Mumbai will need to clear immigrations by presenting the valid travel documents i.e. passport and visa.
Post clearance from immigrations and customs all the passengers may collect their respective baggage/s from the baggage hall and proceed towards the arrival exit.
Domestic passengers - On arrival, domestic passengers may collect their baggage/s from the baggage hall and proceed towards the arrival exit.m",26-05-2025
Passenger,What is the liquor duty free allowance for passengers arriving via international flights in Chhatrapati Shivaji International Airport (CSIA) Mumbai ?,"All passengers entering India are eligible for duty free liquor allowance. One can purchase up to 2 litres of wine or alcoholic beverages. For more details, please visit - mumbaicustoms3.gov.in",26-05-2025
Passenger,"If Indira Gandhi International Airport Delhi is affected by Fog or adverse weather, what should I do about my flight ?","In the first instance, you must always contact your airline for information on flight arrivals and departures. When there is fog impact, airlines usually combine flights on a larger aircraft or reallocate aircraft operating a specific flight. Customers should check flight status before starting from home in case of fog. Passenger are also advised to maintain calm and cooperate with Airport staff who does their best in handling the challenge imposed on them by mother nature.",26-05-2025
Passenger,Is there any Airline Lounge facility at Netaji Subhash Chandra Bose International Airport Kolkata ?,Lounge facility is available in Domestic and International wings of Terminal-2. The Lounges are located in the Security hold Area and the passengers can spend free time leisurely before boarding. The lounge in Domestic Security Hold Area is run by M/s East India Hotels (Clipper Lounge) and the Lounge in International Security Hold Area is managed by M/s P.K.Hospitality Private Limited (Port Lounge).,26-05-2025
Passenger,What is IndiGo Family Fare ?,"A family of 4 to 9 passengers can book special Family Fare and save upto 10% on base fare and fuel charge.
Family Fare is currently applicable only on Domestic India Network.",26-05-2025
Passenger,What are IndiGo Fare rules ?,"The rules and conditions of the booking depend on the fare type and are mentioned in the fare rules. In certain select cases (for example, certain corporate houses etc.), IndiGo offers special fares and certain special privileges on those fares, at the time of making the booking (“Special Fares”). These Special Fares have terms and conditions attached to them. In the event that the booking is made on the Special Fares, except to the extent specified otherwise in the terms and conditions governing the Special Fares, the conditions of carriage of IndiGo shall apply in its entirety   In the event of a conflict between a provision contained herein and in the terms and conditions attached to the Special Fares, the provision as contained in the latter shall prevail and take precedence. 

Our fares are refundable, subject to the change or cancellation rules. 

To secure the best price, it is recommended that you book well in advance of travel dates. 

All IndiGo fares are quoted in Indian Rupees (Rs or INR). IndiGo fares apply only for carriage from the airport at the point of origin to the airport at the point of destination. Fares do not include ground transport service between airports and between airports and town terminals. 

Fares and schedules are subject to change without notice. IndiGo's schedule is also subject to regulatory authority approvals. Once purchased, your fare will not change; provided, however, that if you request a subsequent change in the booking or routing, revised fares may be applicable. 

Customers traveling with IndiGo are required to agree to terms and conditions that are available on goindigo.in or on request at our Airport Counters.",26-05-2025
Passenger,Is an IndiGo booking transferrable ?,"IndiGo bookings are not transferable. If someone other than the customer attempts to travel or to obtain a refund in connection with the booking, IndiGo shall not be liable to the customer so entitled if in good faith it provides carriage or makes a refund to the person presenting the itinerary.",26-05-2025
Passenger,Does SpiceJet provide any food or drinks onboard for domestic travel?,SpiceJet sells hot meals/snacks/refreshments and beverages on selected flights. Payment for the same will be accepted in INR only.,26-05-2025
Passenger,Does SpiceJet offer a frequent flyer program for domestic travel?,"No, SpiceJet do not offer a frequent flyer program.",26-05-2025
Passenger,Does SpiceJet allow me to bring food on board  to eat for domestic travel ?,"SpiceJet does allow some food items on board. Those include: burgers, sandwiches, cold snacks, non-alcoholic drinks, cookies, and biscuits. Some items not allowed on-board due to hygiene issues are: samosas, pakoras, gravies or pickles. If you have any questions, please contact our Passenger Reservations.",26-05-2025
Passenger,Does SpiceJet allow me to bring food on board  to eat for international travel ?,"SpiceJet does allow some food items on board. Those include - burgers, sandwiches, cold snacks, non-alcoholic drinks, cookies, and biscuits. If Passengers have any further questions, please contact our Passenger Reservations.",26-05-2025
Passenger,What is Jet Airways Best Price Promise?,"Jet Airways Best Price Promise symbol guarantees the best online fares for all Jet Airways operated flights, exclusively on jetairways.com, our mobile site and app Wherever you see Best Price Promise symbol you can be rest assured that you won’t find a better Jet Airways fare anywhere else online.",26-05-2025
Passenger,What are JPMiles?,"JPMiles are the programme currency of JetPrivilege, a loyalty and rewards management programme and the frequent flyer programme of Jet Airways. Each time you fly or transact with any of our 150+ programme partners you earn JPMiles. They are equivalent to reward points or frequent flyer miles of other loyalty programmes.",26-05-2025
Passenger,Do I earn JPMiles on all Jet Airways flights?,"Yes. With the multi-level JPMiles earning, you earn a percentage of the base JPMiles based on the Flight, Network and Cabin booked. Effective travel on or after 17th August 2016, Base JPMiles will also be dependent upon the Fare Choices selected. For travel on Jet Airways marketed & operated flights and on Jet Airways flights operated under the S2 code, the Base JPMiles will continue to be calculated as a percentage of 500 Miles (for sectors where Ticketed Point Mileage (TPM) is less than or equal to 500 miles) and as a percentage of actual Ticketed Point Mileage (TPM) (only for sectors where the distance flown is 501 miles & above). In case of Jet Airways codeshare flights operated by Airline Partners, Base JPMiles will continue to be calculated as a percentage of the actual Ticketed Point Mileage irrespective of the distance.",26-05-2025
Passenger,When can I start redeeming JPMiles?,You can start redeeming JPMiles on completing any 1 activity with the programme. A member has to ensure that he/she has undergone mobile and email verification for his/her account to be able to undertake a redemption.,26-05-2025
Passenger,What are the meal options for economy reservations provided by GoAir ?,"Customers travelling economy can avail our buy on board meal services. 
GoAir sells a variety of well selected Café Coffee Day snacks (veg & non-veg) and beverages (cold and hot) on board. Sandwiches, combo snacks, savouries, knick-knacks, cookies, energy bars, selection of cold and hot beverages and water are some of the items on the menu. Customers may purchase the same against cash payment. We do not accept credit card/debit cards or cheques. 
Now customers can pre-purchase Combo Meal at the time of booking ticket(s) on www.GoAir.in. Customers can choose between a vegetarian and non-vegetarian Combo Meal as per their preference.",26-05-2025
Passenger,Does GoAir offer priority checkin ?,"GoAir offers priority check-in and priority baggage at just ₹​ 400 and the service can be bought by passenger up to 2 hours before the scheduled departure.

This is a pre-paid service and can be bought by paying a non-refundable fee of ₹​ 400/- for 2 bags
This service is available only at selective airports – AMD, BLR, BOM, CCU, COK, DEL, GAU, GOI, IXZ & MAA
This service is available for first 10 customers on every flight",26-05-2025
Passenger,What are the details of car parking in Indira Gandhi International Airport Delhi ? Is self car parking available at Indira Gandhi International Airport Delhi ?,Self driven cars can be parked at the Multi Level Car Park located across from Terminal 3 and the Surface Car Park located across from Terminal 1. Please click http://www.newdelhiairport.in/delhi-airport-parking-services.aspx to check all details pertaining to parking at the airport.,26-05-2025
Security,What may happen to me if l bring a prohibited item to a security checkpoint?,If you bring a prohibited item to the checkpoint you may be criminally prosecuted or at the least asked to rid yourself of the item,26-05-2025
License,Whether a person can submit the paper without RTR (A) from Ministry of Communication?,then only the application would be processed for issue of license.,26-05-2025
Special Needs,if l require oxygen supply on board what are the formalities?,You will be required to prepare and submit a Medical Information form (MEDIF).,26-05-2025
Special Needs,Where is the Medical Room located at Chhatrapati Shivaji International Airport (CSIA) Mumbai ?,The medical room at International Terminal (T2) is located near check-in island L at the departure level 4 and arrival corridor of the South West Pier at Level 2. The medical room at Domestic Terminal 1 is located in departure area next to check-in counter 1.,26-05-2025
Special Needs,What is the definition of Unaccompanied Minor Passenger? Is a Parent allowed to accompany a child during check-in?,An unaccompanied minor is a child without the presence of a legal guardian. This term is used in immigration law and in airline policies. The specific definition varies from country to country and from airline to airline. Please check with the airline for further information.,26-05-2025
Special Needs,Does Indira Gandhi International Airport Delhi have any medical facility ?,"In the event of a medical emergency, well trained doctors and paramedics are available from the emergency treatment centre run by Medanta Hospital, the Medicity. These doctors and paramedics are available round the clock. 

The Medanta Medical Centres are equipped with emergency treatment centre for passengers & visitors alike. Ambulances are provided to cater to any severe medical emergency. Medanta Medical facility is available at T-1, T-2 and T-3. Fortis Medical Facility is also available at T-3.",26-05-2025
